Transaction ID,Invoice ID,Date,Customer,Supplier,Category,Country,Amount,Payment Method,Status,Employee,Department
Marketing,2026-05-21,Software,741.55,TXN_00000,Wendy Park,Kelly Perkins,Smith PLC,Completed,770487,USA,Debit Card
Software,TXN_00001,Matthew Gomez,Sales,France,2026-01-08,Completed,872246,86.94,Michael Dennis,Bank Transfer,King-Lee
Marketing,Software,198246,"Carpenter, Moore and Park",TXN_00002,Carolyn Howard,Cancelled,Thomas Brown,Credit Card,505.36,2026-02-01,Canada
419.52,Samantha Fisher,Travel,France,850800,Cancelled,Oscar Brooks,"Dalton, Barry and Villa",2026-01-07,IT,Bank Transfer,TXN_00003
Marketing,Software,Michael Mcdowell,TXN_00004,"Scott, Holt and Mcgee",2025-03-02,948749,Pending,Denise Weeks,698.14,Canada,PayPal
Alexis Reese,"Taylor, Carey and Lin",Credit Card,325772,2025-08-20,Grant White,Pending,IT,Office,USA,TXN_00005,92.75
Clay and Sons,Sales,Pending,Mr. Steven Martin,2026-02-02,TXN_00006,729.73,Brett Richards,Office,Credit Card,USA,733052
Marketing,TXN_00007,678856,Daniel Williams,France,Cancelled,Jennifer Holden,Office,885.45,2025-11-05,PayPal,"Garcia, Bailey and Nguyen"
2024-11-19,Marketing,Software,Jennifer Brown,Taylor Gardner,838797,Completed,661.26,"Fowler, Sullivan and Rodriguez",USA,TXN_00008,PayPal
Colon Ltd,453.41,2024-08-20,UK,Jennifer Lee,TXN_00009,205907,Completed,Office,Melissa Ashley,IT,PayPal
Marketing,Software,UK,472528,Thomas Martinez,Cancelled,TXN_00010,Credit Card,Mr. Lucas Perez,2026-06-07,"Woodward, Villanueva and Doyle",701.82
Carla Reyes,TXN_00011,163.4,Alexander White,Finance,Travel,Pending,"Shaffer, Marks and Turner",660086,2025-06-02,Bank Transfer,Canada
TXN_00012,"Foster, Roberts and Adams",Travel,842.85,330283,UK,Sales,2024-08-18,Completed,Melody Collins,Credit Card,Elizabeth Cox
Germany,267.74,TXN_00013,"Yoder, Smith and Cohen",Cancelled,944151,Office,Paul Blevins,Kevin Garcia,Debit Card,2026-06-07,IT
Germany,TXN_00014,Travel,2025-02-03,"Curtis, Hoffman and House",322955,Daniel Mason,395.63,Completed,Martha Sanchez,Bank Transfer,IT
Kayla Stein,Software,"Valdez, Baker and Harris",246413,France,TXN_00015,Cancelled,2025-11-08,538.98,Bank Transfer,HR,Pamela Pratt
Andrea Castaneda,"Wilson, Gates and Hall",Michael Sandoval,Software,Canada,509.53,Sales,Completed,Credit Card,479580,TXN_00016,2025-05-07
2025-02-26,Mr. Kevin Hernandez,Travel,260265,Brooks-Mullins,Sales,Cancelled,792.08,TXN_00017,Bank Transfer,Canada,Kyle Jefferson
503457,2024-08-24,996.12,TXN_00018,Sales,France,Andrea Welch,Cancelled,Office,Jennifer Ferrell,Williams LLC,PayPal
TXN_00019,Travel,681.71,"Sutton, Contreras and Taylor",Melanie Pearson,813328,2026-03-31,Cancelled,Nancy Horne,USA,IT,PayPal
Germany,TXN_00020,216970,Erin Hickman,2024-12-20,Cancelled,Office,Credit Card,Washington-Campbell,IT,Jeremy Lopez,158.16
Software,624902,2026-02-06,Finance,TXN_00021,France,Sutton and Sons,912.63,Cancelled,Sandra Patterson,Mark Morgan,PayPal
Allen Group,Erin Miller,Software,Finance,TXN_00022,2026-01-24,Stephanie Ochoa,Cancelled,373.91,738551,Debit Card,Canada
Catherine Johnson,Travel,488.61,Credit Card,UK,John Davis,TXN_00023,Pending,2025-07-31,100599,"Miller, Campbell and Garcia",IT
Software,TXN_00024,351083,Mendez-Harding,2024-12-20,878.01,Beverly Hughes,Completed,Jacqueline Powell,Credit Card,HR,Canada
TXN_00025,Software,Christopher Henry,2026-06-24,955662,France,Cancelled,"Alvarado, Taylor and Smith",Tracy Brown,Debit Card,HR,765.83
Software,Finance,2024-10-07,UK,Thomas Clark,TXN_00026,527.67,"Howe, Meyers and Diaz",Vanessa Taylor MD,Completed,Bank Transfer,676510
Lawrence PLC,Travel,2024-11-17,712.95,Shirley Martin DDS,891952,Cancelled,Daniel Webb,IT,TXN_00027,Bank Transfer,Canada
Germany,2024-10-01,121.0,Travel,Heather Thompson,"Greene, Ball and Hall",Completed,559381,Debit Card,Christina Garcia,IT,TXN_00028
230.11,122056,Larsen-Hansen,Travel,Brittany Bentley,Sales,TXN_00029,Ronald Chan,2026-05-20,France,Completed,Debit Card
228.94,TXN_00030,Travel,Credit Card,Sales,Pending,842225,"Conner, Jackson and Moore",Kayla Jackson,2024-11-16,USA,Billy Johnson
Christopher Williams,2024-10-01,Software,Allen LLC,Marketing,TXN_00031,UK,Cancelled,Anthony Delacruz,Debit Card,639131,668.98
